silver-infovis-topics--userI.txt,lda_35_0.1_0.01,Score
I08,16,0.0026262373434456157
I08,13,0.0026845415717322916
I08,14,0.0018234000737519787
I08,11,0.001704626083570362
I08,12,0.006939916825460663
I08,21,0.0034146766433639135
I08,20,0.680609580517342
I08,22,0.001122689051837939
I08,23,0.0017710497377184276
I08,24,0.0012112370922332334
I08,25,0.0013839673437895084
I08,26,0.07207281028074175
I08,27,0.002273359866935027
I08,28,0.0032519744968199683
I08,29,0.005415847317768947
I08,3,0.0026769211735087495
I08,2,0.020081321935141196
I08,10,0.0017097192456579852
I08,1,4.754440340648832E-4
I08,0,0.003693214061501946
I08,7,0.0028643518915952423
I08,30,0.013653536903419364
I08,6,0.0035133159516523823
I08,5,0.18934344635519687
I08,32,0.004009919096030882
I08,4,0.003232345292186431
I08,31,0.0015462798326902592
I08,9,0.04294520712591805
I08,8,0.0027179357174683056
I07,19,0.003611224562634939
I07,17,0.020250176090009342
I07,18,0.003180001900443064
I07,33,0.0019468368326792547
I07,15,0.008060728265925169
I07,34,0.20307778612683194
I07,16,0.01687051460713632
I07,13,0.002343935055005084
I07,14,0.0021936215251767022
I07,11,0.005055801243575342
I07,12,0.0014619017483689704
I07,21,0.7484863453104442
I07,20,0.0023106818504133445
I07,22,0.0018135809293302533
I07,23,0.0022896053847197267
I07,24,0.00168484977476449
I07,25,0.0010788898195589944
I07,26,0.0021503401808047194
I07,27,0.009053674612257546
I07,28,0.00278359694750301
I07,29,0.002555587646473291
I07,3,0.004340951527796226
I07,2,0.0026996434357386004
I07,10,0.001445869476779245
I07,1,0.007879723591750772
I07,0,0.7346263686221342
I07,7,0.0017309007653430325
I07,30,0.00157187234555905
I07,6,9.017992508522162E-4
I07,5,0.0019011735366067702
I07,32,0.0023391156027004617
I07,4,0.14518980882606136
I07,31,0.0036867352437185297
I07,9,0.0018447396701179654
I07,8,0.001554767453117263
I19,19,0.004314617133664865
I19,17,0.48557433891691865
I19,18,0.015945189626675838
I19,33,4.346294013304172E-5
I19,15,0.002488429732704865
I19,34,0.07194281447771039
I19,16,0.01070364421377097
I19,13,0.0019893208068816628
I19,14,0.19019557742473997
I19,11,7.659065445839542E-4
I19,12,0.10090586424938193
I19,21,0.002673768338794603
I19,20,0.04255604585486329
I19,22,0.0034692870608525822
I19,23,0.001918322575915363
I19,24,5.287573340601218E-4
I19,25,0.2592293801166557
I19,26,0.003250819298747933
I19,27,0.0014137489711819515
I19,28,0.007988139907131608
I19,29,0.00813534881123537
I19,3,0.002522717067774802
I19,2,6.789542628402198E-4
I19,10,0.2958510239998892
I19,1,0.004577067834566086
I19,0,0.12567800845742919
I19,7,0.0022987165092049175
I19,30,9.612706006048637E-4
I19,6,9.817665597253902E-4
I19,5,0.20402931052258363
I19,32,0.0018704174543445872
I19,4,0.0043662096588584776
I19,31,0.022739485685691573
I19,9,0.007976469958086138
I19,8,0.0033842244663987993
I18,19,0.0022416131433754052
I18,17,0.02795903736787247
I18,18,3.5420164671582077E-4
I18,33,1.9010164109961123E-4
I18,15,0.002889099264525785
I18,34,0.12039226730271993
I18,16,0.013671572958538231
I18,13,0.005572350016647576
I18,14,1.798289992400645E-4
I18,11,0.0031737431775526906
I18,12,0.0012618767910781861
I18,21,6.932891311628559E-4
I18,20,6.242114891498822E-4
I18,22,3.724595170090966E-4
I18,23,0.0019858021717598655
I18,24,3.663463119989295E-4
I18,25,0.001667865006776285
I18,26,0.001687621252766815
I18,27,0.0014479733513220944
I18,28,0.007518116080516629
I18,29,9.170131918237963E-4
I18,3,0.9694532893506579
I18,2,9.872586312732975E-4
I18,10,0.0014174035496707451
I18,1,0.009229763159707284
I18,0,0.0042379368361522155
I18,7,0.0017898169697199604
I18,30,6.941095089258109E-4
I18,6,0.001315540886185021
I18,5,0.020046279903101642
I18,32,0.001296260526540126
I18,4,0.009078639579424322
I18,31,0.03502154810571396
I18,9,0.0012303668181658058
I18,8,0.0017594202102753436
I09,19,0.00289815733887411
I09,17,0.0024678202530552438
I09,18,0.9780650639113148
I09,33,0.007471136334489819
I09,15,0.0029295146944387724
I09,34,0.10107646753536426
I09,16,0.001941699325552586
I09,13,0.002660372294002998
I09,14,0.006008660284941779
I09,11,0.0026225468757658113
I09,12,0.0025754364509170263
I09,21,0.003848225483995065
I09,20,9.906660509119113E-4
I09,22,0.0021751425235198873
I09,23,0.006178511080428078
I09,24,0.0012101840336460478
I09,25,0.003112127533234913
I09,26,0.016937693391527096
I09,27,0.001930600091914316
I09,28,0.0076047308835372794
I09,29,0.1220342170501626
I09,3,0.002934048238381192
I09,2,0.0010434625543680632
I09,10,0.09933324547004067
I09,1,0.01043466612286843
I09,0,0.001445587903579662
I09,7,0.10291859311088859
I09,30,0.04775918720541629
I09,6,0.005323161118679072
I09,5,0.0051383230860904865
I09,32,0.0023178878251898134
I09,4,0.002429968572399706
I09,31,0.5945019669879188
I09,9,0.0023510412531063075
I09,8,0.017457532204564755
